,name,region,Published,End
0,Watermain on N 62nd St. (Gateway Dr to 10th Ave. North),North Dakota,07/01/2021,07/15/2021
1,Alerus Center Exterior Painting,North Dakota,07/01/2021,07/14/2021
2,Electrical Components,New York,07/01/2021,07/14/2021
3,Protective Clothing,New York,07/01/2021,07/14/2021
4,EQUIPMENT SERVICE & PREVENTATIVE MAINTENANCE PACKAGE,California,07/01/2021,07/12/2021
5,"68"" - 72"" Angle Broom Attachment",Florida,07/01/2021,07/07/2021
6,General Legal Services,Washington,07/01/2021,07/12/2021
7,Fee Accountant,Michigan,07/01/2021,07/13/2021
8,General Legal Council,Michigan,07/01/2021,Not Stated
9,"Glenwood Resource Center HVAC Accessories, Equipment, Parts",Iowa,07/01/2021,07/21/2021
10,"Annual Cleaning, Preventive Maintenance and Minor Repair Services of 911 Dispatch Consoles",California,07/01/2021,07/21/2021
11,Executive Search Firm for CEO Search,Illinois,07/01/2021,Not Stated
12,Web-Based Interactive Video Application,Wisconsin,07/01/2021,07/09/2021
13,VTS Building # 415 - Facility Udates,Tennessee,07/01/2021,07/21/2021
14,"Supply Contract for furnishing Liquid Magnesium Chloride (without corrosion inhibited liquids) from Date of Award through March 31, 2022",Arkansas,07/01/2021,07/20/2021
15,Salary Survey Consultant,Washington,07/01/2021,Not Stated
16,Roadway & Bridge Reconstruction,Illinois,07/01/2021,07/08/2021
17,UNIT TURNAROUND FOR PUBLIC HOUSING,Maryland,07/01/2021,07/19/2021
18,RFQ Development Partner,North Carolina,07/01/2021,Not Stated
19,Landscaping and Ground Maintenance,Maryland,07/01/2021,07/09/2021
20,Learning Management System,Illinois,07/01/2021,07/21/2021
21,Columbia Energy Center Ignition Exciters - Materials Only,Missouri,07/01/2021,07/21/2021
22,Emergency Generator Maintenance and Repair,Arizona,07/01/2021,07/20/2021
23,Supply Contract for furnishing Liquid Calcium Chloride (without corrosion inhibited liquids),Arkansas,07/01/2021,07/20/2021
24,RFP for Instructional Coaching Support and Facilitation,Texas,07/01/2021,07/21/2021
25,Microscopes Annual Preventative Maintenance and Repair Services,Texas,07/01/2021,07/13/2021
26,"Supply Contract for furnishing Liquid Magnesium Chloride (with corrosion inhibited liquids) from Date of Award through March 31, 2022",Arkansas,07/01/2021,07/20/2021
27,PRC for Job & Family Services,Ohio,07/01/2021,07/21/2021
28,"Supply Contract for furnishing Pretreated Rock Salt, Rock Salt & Calcium Chloride from Date of Award through April 30, 2022",Arkansas,07/01/2021,07/20/2021
29,New Bedford State Pier (NBSP) Building #2 Warehouse,Massachusetts,07/01/2021,07/21/2021
30,Perimeter Trial @ Dan's Mountain State Park,Maryland,07/01/2021,07/21/2021
31,FireScope,Texas,07/01/2021,07/13/2021
32,IBM Maximo CMMS Software Implementation Services,Florida,07/01/2021,07/21/2021
33,Hazardous Materials Abatement,Massachusetts,07/01/2021,07/21/2021
34,Small Wares - Jefferson County Board of Education,Alabama,07/01/2021,07/07/2021
35,Management Company Services,Florida,07/01/2021,07/21/2021
36,Essex Public Safety Building Demolition and Site Restoration Project,Massachusetts,07/01/2021,07/21/2021
37,"Grading, Drainage, Paving & Structures - SR 1741 - Robeson",North Carolina,07/01/2021,07/21/2021
38,Heath Department Capital RFQ CP-060421(A),Pennsylvania,07/01/2021,07/16/2021
39,For the work of Milling and Overlaying SH-75 from MP 117.16 - 122.93,Idaho,07/01/2021,07/20/2021
40,Vegetation Removal & Litter Pickup - Bladen & Columbus,North Carolina,07/01/2021,07/21/2021
41,"Latex Modified Concrete – Very Early Strength (LMC-VES) Overlay and Joint Repair on Bridge Numbers 100284, 100289, 100302, and 100303 on US-19/23/70 (Future I-26) in Buncombe County",North Carolina,07/01/2021,07/21/2021
42,RESTORATION PAVING PROJECT - PHASE 3A,Massachusetts,07/01/2021,07/21/2021
43,Traffic Sign Blanks,Washington,07/01/2021,07/16/2021
44,Mowing of City owned and/or controlled Lots,Ohio,07/01/2021,07/19/2021
45,Pest Control Services for Jefferson County Schools,Alabama,07/01/2021,07/14/2021
46,On-Call Precision Spraying/Seeding Wildflower Services,North Carolina,07/01/2021,07/21/2021
47,"Demolition and site restoration project Hazmat abatement, demo and removal of building, footings, foundations",Massachusetts,07/01/2021,07/21/2021
48,Window Replacement Project at Thaxter Park Family and Elderly Housing,Massachusetts,07/01/2021,07/21/2021
49,Human Resource Support Services,Pennsylvania,07/01/2021,07/16/2021
50,Printing & Mailing Town of Oyster Bay Annual Calendar,New York,07/01/2021,07/21/2021
51,2021 Statewide Bulk Propane,Pennsylvania,07/01/2021,07/21/2021
52,T32-D4-PavePres-SR 7 Cook 0-4.75-121762,Georgia,07/01/2021,07/20/2021
53,T32-D4-PavePres-SR 11 Berrien MO25-31-121838,Georgia,07/01/2021,07/20/2021
54,T32-D4-PavePres-SR31 MP14-17 Lanier-121832,Georgia,07/01/2021,07/20/2021
55,Faculty Information System,Texas,07/01/2021,07/20/2021
56,T32-D4-PavePres-SR 31 Lanier MP10-14-121834,Georgia,07/01/2021,07/20/2021
57,"Contract 3B - Water Main Improvements, Andover, MA",Massachusetts,07/01/2021,07/16/2021
58,DISPOSAL SERVICES FOR CONSTRUCTION DEBRIS,Florida,07/01/2021,07/20/2021
59,Offset Printing & Finishing Services for Bulldog Print + Design,Georgia,07/01/2021,07/20/2021
60,"Traffic Engineering, El Paso District, Statewide",Texas,07/01/2021,07/20/2021
61,"Auditing Services- Fiscal Year 2021, 2022 & 2023",Rhode Island,07/01/2021,07/20/2021
62,Rittenhouse Road Improvements,New Jersey,07/01/2021,07/20/2021
63,RFP for Lighting Upgrade Projects at JPTS and MRTS,Ohio,07/01/2021,07/26/2021
64,Council Chambers Production System Improvement Project PW 21-97,California,07/01/2021,07/15/2021
65,Radio Broadcasting Services,Texas,07/01/2021,07/19/2021
66,TDCJ Hobby Unit Print Finishing Equipment,Texas,07/01/2021,07/16/2021
67,"Renovation of one 3 bedroom apartment including Cabinets, flooring, windows, interior doors, plumbin",Massachusetts,07/01/2021,07/16/2021
68,Removal and Disposal of Street Excavation Material from the Authority's Facilities,New Jersey,07/01/2021,07/16/2021
69,Low Carbon Energy Project Siting Improvement Reports,Washington,07/01/2021,07/15/2021
70,Furnishing Appliances: Refrigerators and Ranges,Pennsylvania,07/01/2021,07/16/2021
71,WINTER HOLIDAY DISPLAY,New Jersey,07/01/2021,07/16/2021
72,Random Sample Resident Survey - 2022 Parks and Open Space System Plan,Washington,07/01/2021,07/13/2021
73,Wayland Arms Electrical Panel Replacement - Rebid,Washington,07/01/2021,07/21/2021
74,"Brokers Services for General Liability, Auto Liability, and Professional Liability Coverage",Texas,07/01/2021,07/06/2021
75,Select Clinic Services,Texas,07/01/2021,07/15/2021
76,City of Pooler Fire Station #5,Georgia,07/01/2021,08/10/2021
77,New Bridge Construction - Big Woods Road (CR 1442) at Witcher Creek,Texas,07/01/2021,07/15/2021
78,Restroom Trailer with ADA Lift Room,South Carolina,07/01/2021,07/13/2021
79,"Grant Management Services for the American Rescue Plan for Gregg, County Texas",Texas,07/01/2021,07/06/2021
80,IBMR Chiller Replacement,Ohio,07/01/2021,07/12/2021
81,Floor Covering Services,Massachusetts,07/01/2021,07/16/2021
82,Use of Force Low Light Lab,Georgia,07/01/2021,08/10/2021
83,EVENTS EMERGENCY MEDICAL/FIRST AID SERVICES RFP,Rhode Island,07/01/2021,07/23/2021
84,MCC SUSPENDED CEILING SYSTEM PROJECT,Florida,07/01/2021,07/15/2021
85,STORMWATER AND DRAIN MAINTENANCE SERVICE,Massachusetts,07/01/2021,07/15/2021
86,RFQ-Construction Manager At-RIsk,Texas,07/01/2021,07/15/2021
87,Voluntary Supplemental Insurance Benefits,Florida,07/01/2021,07/15/2021
88,On Call HVAC Maintenance,Massachusetts,07/01/2021,07/15/2021
89,"Food Service - Bread & Bread Products, Term Contract",Florida,07/01/2021,07/15/2021
90,GENE MAPPER,Texas,07/01/2021,07/14/2021
91,Water Main Replacement,Massachusetts,07/01/2021,07/15/2021
92,Swansea Town Hall - Slate Roofing Replacement,Massachusetts,07/01/2021,07/14/2021
93,Concrete Repair/Replacement Terrell State Hospital,Texas,07/01/2021,07/14/2021
94,PACE Head Start Toilet Room Renovations,Massachusetts,07/01/2021,07/14/2021
95,Donovan Field Parking Lot Project,Massachusetts,07/01/2021,07/30/2021
96,Bleachers,Massachusetts,07/01/2021,07/14/2021
97,Real Time Alerting Tool License,Texas,07/01/2021,07/13/2021
98,Guilts,Texas,07/01/2021,07/13/2021
99,DNA FUSION BADGE ACCESS SYSTEM,Florida,07/01/2021,07/13/2021
100,Gas Engine-Driven Welders,Texas,07/01/2021,07/13/2021
101,West Lea Subdivision Drainage Improvements,Texas,07/01/2021,07/22/2021
102,Event #14798 - KinkiSharyo Rail Item,Texas,07/01/2021,07/13/2021
103,Electrical Maintenance and Repair Services for HHS Region 03,Texas,07/01/2021,07/13/2021
104,GROUP 4 DEMO: 1533 Shoreline Drive,Georgia,07/01/2021,07/08/2021
105,TRAFFIC AND PARKING STRIPES & MARKINGS: 2-YEAR SERVICE CONTRACT,New Jersey,07/01/2021,07/13/2021
106,Misc Stock,Texas,07/01/2021,07/06/2021
107,CORNET BAY MOORAGE FACILITY REPLACEMENT,Washington,07/01/2021,07/08/2021
108,Fencing,Texas,07/01/2021,07/12/2021
109,Pool of Qualified General Inspectors & Environmental Inspectors for Residential Rehabilitation Projects,Florida,07/01/2021,07/08/2021
110,WabTec Group Rail Items,Texas,07/01/2021,07/06/2021
111,PRE-CONSTRUCTION AND CONSTRUCTION MANAGER AT RISK SERVICES FOR THE HISTORIC MIRAMAR INNOVATION AND TECHNOLOGY VILLAGE – PERRY MIDDLE SCHOOL PROPERTY,Florida,07/01/2021,07/08/2021
112,SPECIAL EVENTS EQUIPMENT,Florida,07/01/2021,07/08/2021
113,Big Time Texas Hunt Package – Nilgai Antelope,Texas,07/01/2021,07/07/2021
114,Tri-reader 3,California,07/01/2021,07/07/2021
115,Firetruck,New Jersey,07/01/2021,07/06/2021
116,Control Valve & Housing asm,California,07/01/2021,07/07/2021
117,MIRAMAR REGIONAL SKATE PARK,Florida,07/01/2021,07/06/2021
118,SKIRTS P3010 A11 A24 KINKISHARYO,California,07/01/2021,07/06/2021
119,Sensor asm & Stator and cam asm,California,07/01/2021,07/07/2021
120,Master,California,07/01/2021,07/07/2021
121,New Braintree Grade School Elevator Repair,Massachusetts,07/01/2021,07/22/2021
122,"192656 A11 A22 ENCLOSURE - ATP, JUNCTION BOX, BOX AND COVER",California,07/01/2021,07/06/2021
123,Portable Toilet & Sink Rental,California,07/01/2021,07/08/2021
124,CHP Desert Hills Weapons Range Use,California,07/01/2021,07/09/2021
125,"Replacement of kitchen cabinets and counters, install new VCT and underlayment. Abatement of existing ACM flooring, ACM pipe insulation and selected ACM wallboard and replacement of unit load centers,",Massachusetts,07/01/2021,07/16/2021
126,Building Renovations,Massachusetts,07/01/2021,07/14/2021
127,DITCHING & CULVERT REPLACEMENT,Vermont,07/01/2021,07/21/2021
128,LEASE ACCOUNTING SOFTWARE,Illinois,07/01/2021,07/21/2021
129,RFP: Third Party Administrator for Douglas County Workers' Compensation Claims,Nebraska,07/01/2021,07/21/2021
130,SMALL INVASIVE TREE & SHRUB CONTROL AT MULTIPLE FOREST PRESERVES,Illinois,07/01/2021,07/21/2021
131,CHP San Gorgonio Weapons Range,California,07/01/2021,07/09/2021
132,3 year contract for streetlight maintenance,Massachusetts,07/01/2021,07/14/2021
133,Electrical,Massachusetts,07/01/2021,07/21/2021
134,Ambulance Billing Service,Massachusetts,07/01/2021,07/14/2021
135,"On Call and Emergency Services for Maintenance, Repairs and scheduled Inspections",Massachusetts,07/01/2021,07/15/2021
136,Operation and Management of the School Food Service Program,New Jersey,07/01/2021,07/21/2021
137,MUNICIPAL BROADBAND MARKET ANALYSIS AND FEASIBILITY STUDY,Massachusetts,07/01/2021,07/19/2021
138,San Diego HVAC Maintenance,California,07/01/2021,07/14/2021
139,Masonry,Massachusetts,07/01/2021,07/21/2021
140,HVAC,Massachusetts,07/01/2021,07/21/2021
141,On-Site Counseling,California,07/01/2021,07/15/2021
142,Fire protection,Massachusetts,07/01/2021,07/21/2021
143,Elevator,Massachusetts,07/01/2021,07/21/2021
144,Project Manager for Use of ARPA Funding,Connecticut,07/01/2021,07/16/2021
145,Resilient floor,Massachusetts,07/01/2021,07/21/2021
146,Painting,Massachusetts,07/01/2021,07/21/2021
147,Acoustic Ceilings,New Jersey,07/01/2021,07/21/2021
148,Tile,Massachusetts,07/01/2021,07/21/2021
149,Roofing,Massachusetts,07/01/2021,07/21/2021
150,Waterproofing,Massachusetts,07/01/2021,07/21/2021
151,Decorative Streetlight Repair & Replacement Project,California,07/01/2021,07/06/2021
152,Sleeping Turtles Preserve-North Nuisance Plant Management Services,Florida,07/01/2021,07/09/2021
153,"6"" to 16"" KEG Super Cutter 150 Plus Chain Root Cutter",Florida,07/01/2021,07/15/2021
154,Plumbing,Massachusetts,07/01/2021,07/21/2021
155,DESIGN SVCS - LINDELL BLVD. & BARWICK RD.,Florida,07/01/2021,07/15/2021
156,Misc metals,Massachusetts,07/01/2021,07/21/2021
157,"Remove an existing district regulator station and install a proposed District Natural Gas Regulator Station and natural gas distribution mains on Lowell Street in Wakefield, MA",Massachusetts,07/01/2021,07/15/2021
158,BUENA VISTA HS PORTABLE CLASSROOM INSTALLATION,California,07/01/2021,07/13/2021
159,Metal windows,Massachusetts,07/01/2021,07/21/2021
160,Glass,Massachusetts,07/01/2021,07/21/2021
161,PLANTWIDE ROADWAY REPAIR FOR A TWO (2) YEAR PERIOD,New Jersey,07/01/2021,07/21/2021
162,Furnish Deliver & Install Eaton 9PX Series UPS Systems for HIDOE,Hawaii,07/01/2021,07/20/2021
163,Performance Polo Shirts,Texas,07/01/2021,07/20/2021
164,"DMV Headquarters Cafeteria Exhaust Hood, Duct Cleaning Service, ANSUL Extinguishing System Inspection and Certification.",California,07/01/2021,07/22/2021
165,PURCHASE AND DELIVERY OF 1 TO 4 TYPE III AMBULANCES,New Jersey,07/01/2021,07/21/2021
166,LED LAMPS FOR THE FACILITIES CENTRAL WAREHOUSE.,Texas,07/01/2021,07/20/2021
167,Canine Routine and Emergency Veterinary Services,California,07/01/2021,07/14/2021
168,"SWR - Circuits 115-119, 115-131, 115-137 and 115-168 Transmission and Distribution Line Clearance",Washington,07/01/2021,07/20/2021
169,CHP Calexico HVAC Maintenance,California,07/01/2021,07/09/2021
170,Social Emotional Wellness Screener/Survey Dashboard Platform,Arizona,07/01/2021,07/20/2021
171,Remove and dispose of large 250 gallon water heaters and Install a new 75 gallon non- ASME water heater re-pipe as needed,Massachusetts,07/01/2021,07/14/2021
172,Mahoney Drainage,Nebraska,07/01/2021,07/20/2021
173,Remove and dispose of existing condensers (3) and Install three new condensers,Massachusetts,07/01/2021,07/14/2021
174,Sanding Material 2A-Locations Missoula Area,Montana,07/01/2021,07/20/2021
175,Outbound Mail Services,Texas,07/01/2021,07/20/2021
176,Digital Community Experience,Kentucky,07/01/2021,07/20/2021
177,TxDOT San Antonio District Professional Services Contract,Texas,07/01/2021,07/20/2021
178,Road Sealing,Massachusetts,07/01/2021,07/15/2021
179,CONSTRUCTION AND RENOVATION PROJECT MANAGEMENT AUGMENTATION,Texas,07/01/2021,07/20/2021
180,Miller ES Special Services Kitchen Modular Building,California,07/01/2021,07/13/2021
181,Furnish and deliver inorganic aluminum coagulant to the West Parish Filters,Massachusetts,07/01/2021,07/20/2021
182,Provide Pressure Washing Services on an Annual Contract,Georgia,07/01/2021,07/15/2021
183,Douglas J. Miller Elementary School Special Services Kitchen Modular Building,California,07/01/2021,07/13/2021
184,"PS&E Passenger Vehicle Ferry, Houston District, Districtwide",Texas,07/01/2021,07/20/2021
185,PW-465 Sewer and Stormwater Collection System Maintenance,Massachusetts,07/01/2021,07/20/2021
186,2021 Road Reconstruction,Massachusetts,07/01/2021,07/20/2021
187,Reflectorized Pavement Marking,Massachusetts,07/01/2021,07/15/2021
188,Annual Elevator Inspections and 5-year Load Test,Texas,07/01/2021,07/20/2021
189,2020-22 VARIOUS SEWER IMPROVEMENTS (RE-BID),New Jersey,07/01/2021,07/20/2021
190,Grant Street Group TaxSys Tax Collection & Billing System,Florida,07/01/2021,07/08/2021
191,"Sealed Proposal for Employee Benefits Consultant, Insurance Brokerage Services, and Actuarial Services",Arizona,07/01/2021,07/19/2021
192,Weehawken Senior Housing Corporation New Retaining Wall and Site Work,New Jersey,07/01/2021,07/20/2021
193,Sewer and Stormwater Collection System Maintenance,Massachusetts,07/01/2021,07/20/2021
194,Furnishing and installation of aluminum framed storefront windows in the refurbished Municipal Building,New Jersey,07/01/2021,07/20/2021
195,"Pre-Engineered metal building, wall panels, metal roofing and doors on an existing foundation",Massachusetts,07/01/2021,07/20/2021
196,2021 Sussex County Resurfacing Program,New Jersey,07/01/2021,07/20/2021
197,ERS' Construction Manager-at-Risk RFQ,Texas,07/01/2021,07/20/2021
198,Cold Planing and Profiling of Bituminous Surfaces,Massachusetts,07/01/2021,07/15/2021
199,"Pre-engineered metal building, wall panels, metal roofing, and doors on existing foundation being done under separate contract",Massachusetts,07/01/2021,07/20/2021
200,Random Crack Sealing,Massachusetts,07/01/2021,07/15/2021
201,Manhole Casting Adjustment,Massachusetts,07/01/2021,07/15/2021
202,Bituminous Concrete,Massachusetts,07/01/2021,07/15/2021
203,2021 Additional Pavement Overlay Improvements,Minnesota,07/01/2021,07/19/2021
204,GEOGRAPHIC INFORMATION SYSTEM (GIS) ENTERPRISE,California,07/01/2021,08/04/2021
205,LUNCH FOR DELL MUSIC CENTER,Pennsylvania,07/01/2021,07/13/2021
206,2nd Ave and 3rd Ave Water Main Replacement,Pennsylvania,07/01/2021,07/20/2021
207,Austin HQ-U Intake Counter Renovation,Texas,07/01/2021,07/19/2021
208,TOWING SERVICES FOR ENVIRONMENTAL MANAGEMENT AND HAWAII POLICE DEPARTMENT,Hawaii,07/01/2021,07/20/2021
209,AUTOBODY SHOP PAINTS & SUPPLIES,New Jersey,07/01/2021,07/07/2021
210,City of Omaha - Roof Replacement at 3819 North 24th Street,Nebraska,07/01/2021,07/14/2021
211,"Hand Mowing with Baggers, Trimming and Litter Pickup Along MD 151 and MD 700 in the Golden Ring Shop Area-Baltimore County",Maryland,07/01/2021,07/19/2021
212,Demolition Svcs Hardin Co,Kentucky,07/01/2021,07/19/2021
213,"Hand Mowing (w/baggers if needed), Trimming and Litter Pickup Along MD 702 in the Golden Ring Shop Area-Baltimore County",Maryland,07/01/2021,07/19/2021
214,"BMO HARRIS BANK ARENA RENOVATIONS CONSTRUCTION MANAGER, as a PROFESSIONAL CONSULTANT",Illinois,07/01/2021,07/16/2021
215,Hoback Site Improvement Project,Wyoming,07/01/2021,07/14/2021
216,CATERING SERVICES,Pennsylvania,07/01/2021,07/13/2021
217,RFQ - Transit Development Plan,Nebraska,07/01/2021,07/15/2021
218,Edith Abbott Memorial Library - Air Handler Replacement,Nebraska,07/01/2021,07/14/2021
219,"Cell 8 Construction, 21P-002 - General Contract; Electrical Contract",Pennsylvania,07/01/2021,07/30/2021
220,Parking Services,Pennsylvania,07/01/2021,07/13/2021
221,Veterans Sport Complex Batting Cages,Nebraska,07/01/2021,07/06/2021
